date,store_number,zip_code,category_name,item_number,item_description,pack,bottle_volume_ml,bottles_sold,sale_dollars,volume_sold_liters
"2019-12-23 00:00:00",2593,51401.0,"Straight Rye Whiskies",27189,"Basil Hayden Dark Rye",6,750,18,637.74,13.5
"2016-02-29 00:00:00",2636,50317,"PEACH BRANDIES",56193,"Paul Masson Peach Grande Amber Brandy",24,200,24,70.56,4.8
"2016-07-01 00:00:00",9001,52338,"SINGLE MALT SCOTCH",27357,"Cedar Ridge Single Malt Single Barrel Select",6,750,90,3712.5,67.5
"2018-05-07 00:00:00",2512,52240,"Triple Sec",86251,"Juarez Triple Sec",12,1000,60,217.8,60
"2018-05-07 00:00:00",2591,50022,"Triple Sec",86507,"Paramount Triple Sec",12,1000,4,23.04,4
"2017-06-12 00:00:00",2538,50702,"Special Order Items",917914,"HA Elijah Craig Cask Barrel Proof",3,750,18,807.84,13.5
"2016-12-22 00:00:00",3447,51106,"Coffee Liqueurs",67527,"Kahlua Coffee Liqueur",12,1000,240,5397.6,240
"2016-02-04 00:00:00",5113,50703,,48099,"Hennessy VS",24,200,24,206.64,4.8
"2017-06-23 00:00:00",4291,50801,"Gold Rum",43037,"Bacardi Gold Rum",12,1000,5,71.25,5
"2019-03-04 00:00:00",4152,51555,"Gold Rum",45247,"Paramount Gold Rum",12,1000,2,13.26,2
"2019-05-06 00:00:00",2593,51401,"Gold Rum",43031,"Bacardi Gold Mini",12,500,12,99.72,6
"2016-02-18 00:00:00",5063,50703,"100 PROOF VODKA",37880,"Seagrams Extra Smooth",24,200,24,63.36,4.8
"2019-11-27 00:00:00",3549,52627.0,"Coffee Liqueurs",67586,"Kapali Coffee Liqueur",12,750,36,237.24,27
"2019-03-08 00:00:00",3963,51501,"Gold Rum",43031,"Bacardi Gold Mini",12,500,4,33.24,2
"2019-12-16 00:00:00",4136,50111.0,"American Distilled Spirit Specialty",77805,"Saints N Sinners Apple Pie",12,750,108,1296,81
"2016-02-03 00:00:00",4057,50316,,48099,"Hennessy VS",24,200,48,413.28,9.6
"2016-02-15 00:00:00",3494,50702,"DISTILLED SPIRITS SPECIALTY",77487,"Tortilla Gold Dss",12,1000,768,5199.36,768
"2018-12-31 00:00:00",2643,50701,"Triple Sec",86112,"Dekuyper Triple Sec",12,1000,2,7,2
"2019-01-22 00:00:00",2843,52402,"Gold Rum",45246,"Paramount Gold Rum",12,750,7,42,5.25
"2016-08-29 00:00:00",5244,52136,"American Vodka",35917,"Five O'clock Vodka",12,1000,2,75.12,2
"2019-12-23 00:00:00",2670,52241.0,"Imported Distilled Spirit Specialty",65750,"Maestro Agavero Gold",12,1000,48,504,48
"2017-11-07 00:00:00",4167,52001,"Coffee Liqueurs",67557,"Kamora Coffee Liqueur",12,1000,4,50.36,4
"2017-11-14 00:00:00",3385,52402,"Triple Sec",86390,"Montezuma Triple Sec",12,1000,216,691.2,216
"2016-01-15 00:00:00",4829,50314,"TRIPLE SEC",86251,"Juarez Triple Sec",12,1000,60,217.8,60
